year,files,description,city_name,file_urls
2011,"[{'path': 'full/888826f1e7ec7449e3b04fe462c43a35968f7f3b.csv', 'checksum': '162ef5ad561b7d3b828a77a31ddc8ea5', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2011.csv'}]",Download Adelanto payroll data for 2011,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2011.csv
2014,"[{'path': 'full/47cf5bb2f12f24ebc312c892d71fd58c74b73041.csv', 'checksum': '9edda69396810a34c37b76efa600e99a', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2014.csv'}]",Download Adelanto payroll data for 2014,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2014.csv
2012,"[{'path': 'full/ceddeac193a21eb831d71f5e4abd7c0b114b17af.csv', 'checksum': '76f4b052f4389a84184be0149c8450ef', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2012.csv'}]",Download Adelanto payroll data for 2012,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2012.csv
2016,"[{'path': 'full/d8b04b7288290cfd0d030bdbf88050b9bd90bf2c.csv', 'checksum': '612b9ca99507ca2498b5f0984771c4c0', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2016.csv'}]",Download Adelanto payroll data for 2016,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2016.csv
2015,"[{'path': 'full/6181a5850f6b5b867c8bd3afaa289fd133b5d8a4.csv', 'checksum': '6ac1522916b3dbc3e7f5924d76a0aaf9', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2015.csv'}]",Download Adelanto payroll data for 2015,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2015.csv
2015,"[{'path': 'full/434a814de0868e46e65eb05cc509102afb803def.csv', 'checksum': 'c42277241a8302f232b8609333a6c25b', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2015.csv'}]",Download Avalon payroll data for 2015,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2015.csv
2013,"[{'path': 'full/ce3b50cbf4de35247c444ddcfdbc7fc7c5c87e14.csv', 'checksum': 'e6dba4b29162a7eb7f44ec32bd37add2', 'url': 'https://transcal.s3.amazonaws.com/public/export/adelanto-2013.csv'}]",Download Adelanto payroll data for 2013,Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2013.csv
2015,"[{'path': 'full/717b2e3c19b631779189c0dd78c3c1a14a263d15.csv', 'checksum': '551f90e7305abc0821df8749bf45a6c0', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2015.csv'}]",Download Auburn payroll data for 2015,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2015.csv
2014,"[{'path': 'full/9d7972cecf17de14a3f52692e1e0cb2587e2dd4f.csv', 'checksum': '98eac46e565f35a62e1501b83fb4f292', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2014.csv'}]",Download Avalon payroll data for 2014,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2014.csv
2013,"[{'path': 'full/eba62254b6373fc0c1cae8239d7157e300e906c6.csv', 'checksum': 'de5482ee96af0aa8ba39985986dbfb46', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2013.csv'}]",Download Avalon payroll data for 2013,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2013.csv
2012,"[{'path': 'full/0181d7aa85d51b36dac24ce99c4c283f3b0358dc.csv', 'checksum': 'd77543e69d9d9993d497ba218b1ca86b', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2012.csv'}]",Download Avalon payroll data for 2012,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2012.csv
2011,"[{'path': 'full/520f8588e44770c67c2ef3c2090716f009cd896f.csv', 'checksum': '7bf6fdad389327fe96f30f0963d3e128', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2011.csv'}]",Download Avalon payroll data for 2011,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2011.csv
2016,"[{'path': 'full/5ab5346525b2a85cfc99b5508431c8961c0b7168.csv', 'checksum': '46f3940aded2975acf9b6458118f61a8', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2016.csv'}]",Download Auburn payroll data for 2016,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2016.csv
2013,"[{'path': 'full/c2ef74551d9d26efc7a39e57a292ae9c31decc45.csv', 'checksum': 'dc1a463ef698f7e1deda5720472c1c8e', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2013.csv'}]",Download Auburn payroll data for 2013,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2013.csv
2012,"[{'path': 'full/2aa0a8e104cab6217d3157f15db9299e93aef5ed.csv', 'checksum': '0bdc3b8c492aa0949f6968997a0f29d0', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2012.csv'}]",Download Auburn payroll data for 2012,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2012.csv
2011,"[{'path': 'full/30a841219b1e1b6788f223d4973488c552706bee.csv', 'checksum': '13f0317c916cfef496124b48288b372a', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2011.csv'}]",Download Auburn payroll data for 2011,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2011.csv
2014,"[{'path': 'full/17741a38ec59788f5256335592b1d976b8676738.csv', 'checksum': 'a66e4233953c0ce967fa0e8c3fdb5bff', 'url': 'https://transcal.s3.amazonaws.com/public/export/auburn-2014.csv'}]",Download Auburn payroll data for 2014,Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2014.csv
2016,"[{'path': 'full/ba7ca4444395a9d30449b493a0a837cd93a3bf39.csv', 'checksum': '2a15b630c0caa0079db8af3915f7e617', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2016.csv'}]",Download Atwater payroll data for 2016,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2016.csv
2015,"[{'path': 'full/44e583677e8ca1587008b1fa1a97046503a433b9.csv', 'checksum': '442ec4bbefecc9efd9d2198267ddf489', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2015.csv'}]",Download Atwater payroll data for 2015,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2015.csv
2014,"[{'path': 'full/026ee337c00352fcb1289dab0cdff0841ad52803.csv', 'checksum': '42da69e3603dbc5af7256e6d2b3fee6c', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2014.csv'}]",Download Atwater payroll data for 2014,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2014.csv
2013,"[{'path': 'full/178ec9f10d9dbbfd578bdbd0dca6e6e28ebcc5f5.csv', 'checksum': '385f830db11ae7055140a9dec37a69af', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2013.csv'}]",Download Atwater payroll data for 2013,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2013.csv
2012,"[{'path': 'full/a19bad2a96e2fd61b084eb2ef0c84e4b1dff3f99.csv', 'checksum': '9dea88c19297800c892274545738b81f', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2012.csv'}]",Download Atwater payroll data for 2012,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2012.csv
