description,file_urls,city_name,year,files
Download Allan Hancock College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2012.csv,Allan Hancock College,2012,"[{'checksum': '89a076cc129bfb8602b8384a92451ae2', 'url': 'https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2012.csv', 'path': 'full/ef990f921b603ec8d8e318a863bb99c55eec1a74.csv'}]"
Download Allan Hancock College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2016.csv,Allan Hancock College,2016,"[{'checksum': '137fbb7f6b4004e4894aa65bff0da5fa', 'url': 'https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2016.csv', 'path': 'full/430698fc5177c67c9131a648423a379f2189e109.csv'}]"
Download Allan Hancock College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2015.csv,Allan Hancock College,2015,"[{'checksum': '8f6dcf61e8d377abf8ec3be7f2394810', 'url': 'https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2015.csv', 'path': 'full/e7afe2769e02ed22d1cc652f1ffe9faf92e9ff6c.csv'}]"
Download Allan Hancock College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2013.csv,Allan Hancock College,2013,"[{'checksum': '83e4e18c1be7d631c0cce4634106a9ce', 'url': 'https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2013.csv', 'path': 'full/04cdc76ab7a7b762ac8efb4b2c38b57ab8f0af74.csv'}]"
Download Allan Hancock College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2014.csv,Allan Hancock College,2014,"[{'checksum': '9ba5843462be189c929bb5a4d50cfcd6', 'url': 'https://transcal.s3.amazonaws.com/public/export/allan-hancock-college-2014.csv', 'path': 'full/003a7293a8d9fdfcddf2a9a641cb1cccb0c8dd7a.csv'}]"
Download El Camino College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/el-camino-college-2015.csv,El Camino College,2015,"[{'checksum': '57b0b4a752dbc2fd19d54f5193c00e64', 'url': 'https://transcal.s3.amazonaws.com/public/export/el-camino-college-2015.csv', 'path': 'full/7b783458355a24c943a6ca62fd79cb2c00c2752b.csv'}]"
Download El Camino College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/el-camino-college-2016.csv,El Camino College,2016,"[{'checksum': '98656ed317c6b72b582e1e4d2461104b', 'url': 'https://transcal.s3.amazonaws.com/public/export/el-camino-college-2016.csv', 'path': 'full/529623182f4424d699f11bbe16e068a73166aadc.csv'}]"
Download Contra Costa Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2012.csv,Contra Costa Community College District,2012,"[{'checksum': '18141948865f7db6adc9cd2999d339eb', 'url': 'https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2012.csv', 'path': 'full/512e6a2f80a0ea631913cbf2cb45551b754c8d1b.csv'}]"
Download El Camino College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/el-camino-college-2012.csv,El Camino College,2012,"[{'checksum': 'c54dedfce6b3f798ec16d8e2c391bb9b', 'url': 'https://transcal.s3.amazonaws.com/public/export/el-camino-college-2012.csv', 'path': 'full/638ab9149462e6c2b69ee8f2c2ad323e80538c4e.csv'}]"
Download Contra Costa Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2015.csv,Contra Costa Community College District,2015,"[{'checksum': '8428eeeede8f71ea6acb9c54c6ea13e7', 'url': 'https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2015.csv', 'path': 'full/8778aae820cd1c3fb36900e24d6250da532b2e3b.csv'}]"
Download El Camino College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/el-camino-college-2013.csv,El Camino College,2013,"[{'checksum': '7d8f83f0518fee3bb7c2182ff93c4ad8', 'url': 'https://transcal.s3.amazonaws.com/public/export/el-camino-college-2013.csv', 'path': 'full/584856fd15bc7e1d5eee31ed1821e2dd4f49315f.csv'}]"
Download Contra Costa Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2013.csv,Contra Costa Community College District,2013,"[{'checksum': '0bd2ad706eea9d4894b64260e16548d0', 'url': 'https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2013.csv', 'path': 'full/3572d2767e109bf122a4dcf504ce941aed905ef5.csv'}]"
Download Contra Costa Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2014.csv,Contra Costa Community College District,2014,"[{'checksum': '2773393eac2a0376bbf1df1c3f706acf', 'url': 'https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2014.csv', 'path': 'full/1c080f3d98f6b4d8c73cac5f8e83be93150b2c4a.csv'}]"
Download El Camino College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/el-camino-college-2014.csv,El Camino College,2014,"[{'checksum': '6d23d82ed41b08b6567ee37e1d6f863d', 'url': 'https://transcal.s3.amazonaws.com/public/export/el-camino-college-2014.csv', 'path': 'full/ee320301daf1ed3e2c2aede21e54c7a5e5198a28.csv'}]"
Download Contra Costa Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2016.csv,Contra Costa Community College District,2016,"[{'checksum': '46426cc89b0a8b9c0a5d608b3960ed84', 'url': 'https://transcal.s3.amazonaws.com/public/export/contra-costa-community-college-district-2016.csv', 'path': 'full/c327e6abbbb3eef432ff6ca80c8a7b535effde8a.csv'}]"
Download Foothill Deanza Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2015.csv,Foothill Deanza Community College District,2015,"[{'checksum': '037e59529bd46a1075a9711e58ef4236', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2015.csv', 'path': 'full/470e58dc56f5df33bc6024d4ca1004394126470e.csv'}]"
Download Cuesta College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/cuesta-college-2016.csv,Cuesta College,2016,"[{'checksum': '07536caafab288322f2da54b82cebf15', 'url': 'https://transcal.s3.amazonaws.com/public/export/cuesta-college-2016.csv', 'path': 'full/a39d17b10d71b14cb59d8ef30be7e7955dde8d91.csv'}]"
Download Cuesta College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/cuesta-college-2013.csv,Cuesta College,2013,"[{'checksum': 'f5a85a5a09089e44dfc3b6fbfa1fa5b3', 'url': 'https://transcal.s3.amazonaws.com/public/export/cuesta-college-2013.csv', 'path': 'full/0f339ae2de00eb2414211ba533e8d9b99fc1b288.csv'}]"
Download Glendale Community College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2015.csv,Glendale Community College,2015,"[{'checksum': 'e78cb3d7bd6bde2879784d57df07595b', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2015.csv', 'path': 'full/490361de6961c716978ee063c6203c6045c0533d.csv'}]"
Download Foothill Deanza Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2016.csv,Foothill Deanza Community College District,2016,"[{'checksum': 'c9a3094a905c6f199631e2e5d10ac9a1', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2016.csv', 'path': 'full/b515e18d910c8be86c433c8d3c1a8f9fcf2ff812.csv'}]"
