city_name,year,description,file_urls,files
Nevada County,2016,Download Nevada County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/nevada-county-2016.csv,"[{'checksum': '7e66256badf5d72ed5fd8250f33ac2b3', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2016.csv', 'path': 'full/b68850c1aaacfdcc4d44a18cfea944b64a5619f4.csv'}]"
Nevada County,2015,Download Nevada County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/nevada-county-2015.csv,"[{'checksum': '7af6127099ccff68276d0538c94a430b', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2015.csv', 'path': 'full/8edc9fdc5d78d4a9c355cbff61438121a22819ae.csv'}]"
Nevada County,2013,Download Nevada County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/nevada-county-2013.csv,"[{'checksum': 'c920065a420ed642dac6c3123462ceaa', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2013.csv', 'path': 'full/b97eee404561f733ed3a0d92d56016a4431d636d.csv'}]"
Nevada County,2014,Download Nevada County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/nevada-county-2014.csv,"[{'checksum': '63533541792e484581677ddb2da1daaa', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2014.csv', 'path': 'full/989fce78bd114de3f0f350ceff4d62d41ce60896.csv'}]"
Alameda County,2014,Download Alameda County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/alameda-county-2014.csv,"[{'checksum': '4242d3524935a2b526f801b58af55ce8', 'url': 'https://transcal.s3.amazonaws.com/public/export/alameda-county-2014.csv', 'path': 'full/12729e005d510acb3222257095982b1ea5ea75b9.csv'}]"
Nevada County,2011,Download Nevada County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/nevada-county-2011.csv,"[{'checksum': '26aeeeb6697c0ba4edb81437b16bcf77', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2011.csv', 'path': 'full/4778ec4adf74cd59b790acbf273cd20d60f59e05.csv'}]"
Nevada County,2012,Download Nevada County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/nevada-county-2012.csv,"[{'checksum': 'ee05db6d82d38055d8d495e3f7d02431', 'url': 'https://transcal.s3.amazonaws.com/public/export/nevada-county-2012.csv', 'path': 'full/ecae92cb0b30b5234ce8d569361c2ccdbf86c48e.csv'}]"
Alameda County,2011,Download Alameda County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/alameda-county-2011.csv,"[{'checksum': 'f4a79866a1e6b9f2b6a5e26c8491737a', 'url': 'https://transcal.s3.amazonaws.com/public/export/alameda-county-2011.csv', 'path': 'full/887f27f7dd7d565c4b0ea3959ab401700a115c8a.csv'}]"
Monterey County,2015,Download Monterey County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/monterey-county-2015.csv,"[{'checksum': '7c223022019dbac2c441e21938212255', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2015.csv', 'path': 'full/c63975f97c1898f853307b182321417893cffe28.csv'}]"
Monterey County,2016,Download Monterey County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/monterey-county-2016.csv,"[{'checksum': '8dc834c11377f57982758856ae1a7d3e', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2016.csv', 'path': 'full/162c02f216c97bf864d8682e3d4eafbc742c5abc.csv'}]"
Alameda County,2013,Download Alameda County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/alameda-county-2013.csv,"[{'checksum': 'd41f4ef6397982af7d9437866a705da3', 'url': 'https://transcal.s3.amazonaws.com/public/export/alameda-county-2013.csv', 'path': 'full/b08b9e8d3b036ab103fb77c9fd464f7ab1adeaf2.csv'}]"
Alameda County,2016,Download Alameda County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/alameda-county-2016.csv,"[{'checksum': '838ad50d6cdc96f91b1e4551599a4c2b', 'url': 'https://transcal.s3.amazonaws.com/public/export/alameda-county-2016.csv', 'path': 'full/5a4129c26bd1528b14a676be88fb6d30f1657837.csv'}]"
Monterey County,2011,Download Monterey County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/monterey-county-2011.csv,"[{'checksum': '8ef77ecdbf6ac859f151d034d3f87b8a', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2011.csv', 'path': 'full/ddd09c2a31f3d20f13d57c8177c678c92b4af355.csv'}]"
Monterey County,2012,Download Monterey County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/monterey-county-2012.csv,"[{'checksum': 'bce74c47adcdb1fe636b3e6b6da39341', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2012.csv', 'path': 'full/96e9cf3ebc91727039be90fd0c67e929a7b94a0a.csv'}]"
Monterey County,2013,Download Monterey County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/monterey-county-2013.csv,"[{'checksum': '06817d4544007f18116e228c7b7c756b', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2013.csv', 'path': 'full/4669db8f794b42ae7030c28f535fa8f2323c6051.csv'}]"
Monterey County,2014,Download Monterey County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/monterey-county-2014.csv,"[{'checksum': '4bd5a8ffe106dd964f23ff36bee64721', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2014.csv', 'path': 'full/54a5da27eece1f9d606d236972513c43ce651bf9.csv'}]"
Alameda County,2015,Download Alameda County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/alameda-county-2015.csv,"[{'checksum': 'a44f5981a599a0f85dceafe6124c9dc2', 'url': 'https://transcal.s3.amazonaws.com/public/export/alameda-county-2015.csv', 'path': 'full/f67c2a3e7ca11f09efc5bd5a01160f8ab06c631b.csv'}]"
Merced County,2016,Download Merced County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/merced-county-2016.csv,"[{'checksum': '811ae3f4e2ae66854068089e3be7c80a', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2016.csv', 'path': 'full/3a30efec3482f4453e264281dfeaa73abc824a06.csv'}]"
Monterey County,2017,Download Monterey County payroll data for 2017,https://transcal.s3.amazonaws.com/public/export/monterey-county-2017.csv,"[{'checksum': 'fc76d85efa198c8abe1de3a653310dd7', 'url': 'https://transcal.s3.amazonaws.com/public/export/monterey-county-2017.csv', 'path': 'full/a585536975acfe22f3a250dd822fee47c0483e2d.csv'}]"
Orange County,2015,Download Orange County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/orange-county-2015.csv,"[{'checksum': 'c1db6da527c0af8f7862eea4729b3953', 'url': 'https://transcal.s3.amazonaws.com/public/export/orange-county-2015.csv', 'path': 'full/6f9f85913ff0080893cd9f2c784b88334458011e.csv'}]"
Merced County,2013,Download Merced County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/merced-county-2013.csv,"[{'checksum': '11c10c6a060670c4d42fac68f9d4bc57', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2013.csv', 'path': 'full/aa44da73d3b4db6d7a6dd8a3815d19ac61d9bf58.csv'}]"
Merced County,2014,Download Merced County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/merced-county-2014.csv,"[{'checksum': 'cdfdbcff1b0e9c141b0c985b32e132d3', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2014.csv', 'path': 'full/e6d4673c00ddf84113db680af2e8d425ba9dfd63.csv'}]"
Merced County,2012,Download Merced County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/merced-county-2012.csv,"[{'checksum': 'c7844ab8e6f04c5be67b7a5d6c40f988', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2012.csv', 'path': 'full/f0d3bced2043968d0960e666849c0b17d10155ee.csv'}]"
