name,url,base_url,protocol
Bank of Tokyo-Mitsubishi UFJ,http://www.bk.mufg.jp/english/index.html,bk.mufg.jp,http
Mizuho Bank,http://www.mizuhobank.co.jp/english/index.html,mizuhobank.co.jp,http
Sumitomo Mitsui Banking Corp.,http://www.smbc.co.jp/global,smbc.co.jp,http
Higo Bank,http://www.higobank.co.jp/home/english/index.html,higobank.co.jp,http
Aomori Bank,http://www.a-bank.jp/html/e-page/a-home.html,a-bank.jp,http
Hiroshima Bank,http://www.hirogin.co.jp/eng/index.html,hirogin.co.jp,http
Hokkaido Bank,http://www.hokuhoku-fg.co.jp/english.html,hokuhoku-fg.co.jp,http
San-in Godo Bank,http://www.gogin.co.jp/about/a_02c.html,gogin.co.jp,http
Hokuetsu Bank,http://www.hokuetsubank.co.jp/annual/index.html,hokuetsubank.co.jp,http
77 Bank,http://www.77bank.co.jp/english/top.htm,77bank.co.jp,http
Bank of Iwate,http://www.iwatebank.co.jp/english/index.html,iwatebank.co.jp,http
Hokuriku Bank,http://www.hokuhoku-fg.co.jp/english.html,hokuhoku-fg.co.jp,http
Shiga Bank,http://www.shigagin.com/investor/investor4.html,shigagin.com,http
Shikoku Bank,http://www.shikokubank.co.jp/profile/annual/index.html,shikokubank.co.jp,http
Bank of Okinawa,http://www.okinawa-bank.co.jp/menu2/english/index.html,okinawa-bank.co.jp,http
Hyakugo Bank,http://www.hyakugo.co.jp/english/2007_english_index.htm,hyakugo.co.jp,http
Shimizu Bank,http://www.shimizubank.co.jp/annual_2007.html,shimizubank.co.jp,http
Hyakujushi Bank,http://www.114bank.co.jp/eng/index.html,114bank.co.jp,http
Bank of The Ryukyus,http://www.ryugin.co.jp/english/eng_welcome.htm,ryugin.co.jp,http
Shizuoka Bank,http://www.shizuokabank.co.jp/english/en-001.jsp,shizuokabank.co.jp,http
Joyo Bank,http://www.joyobank.co.jp/joyobank/eng/,joyobank.co.jp,http
Bank of Yokohama,http://www.boy.co.jp/e/index.htm,boy.co.jp,http
Juroku Bank,http://www.bank-ir.ne.jp/juroku/,bank-ir.ne.jp,http
Suruga Bank,http://www.surugabank.co.jp/surugabank/05/0501000000.html,surugabank.co.jp,http
Chiba Bank,http://ir.chibabank.co.jp/english/,ir.chibabank.co.jp,http
Kagoshima Bank,http://www.bank-ir.ne.jp/kagoshima/,bank-ir.ne.jp,http
Chiba Kogyo Bank,http://www.chibakogyo-bank.co.jp/pdf/toushi/ir/report/finance.pdf,chibakogyo-bank.co.jp,http
Toho Bank,http://www.tohobank.co.jp/english/index.html,tohobank.co.jp,http
Kiyo Bank,http://www.kyfg.com/annualreport/2007/index.html,kyfg.com,http
Chugoku Bank,http://www.chugin.co.jp/05annual/ch-50000.html,chugin.co.jp,http
Michinoku Bank,http://www.michinokubank.co.jp/en/,michinokubank.co.jp,http
Tokyo Tomin Bank,http://www.tominbank.co.jp/toko/english/index.html,tominbank.co.jp,http
Mie Bank,http://www.miebank.co.jp/home/english.html,miebank.co.jp,http
Eighteenth Bank,http://www.18bank.co.jp/aboutus/annualreport/,18bank.co.jp,http
Miyazaki Bank,http://www.miyagin.co.jp/kabunushi/c_english_report/index.html,miyagin.co.jp,http
Gunma Bank,http://www.gunmabank.co.jp/annual/index1.htm,gunmabank.co.jp,http
Nanto Bank,http://www.nantobank.co.jp/annual/index.htm,nantobank.co.jp,http
Yamanashi Chuo Bank,http://www.bank-ir.ne.jp/yamanashi_chuo/,bank-ir.ne.jp,http
Hachijuni Bank,http://www.82bank.co.jp/english/index.html,82bank.co.jp,http
Aichi Bank,http://www.aichibank.co.jp/ar/index.html,aichibank.co.jp,http
