title,date,summary,link
Geeks Without Frontiers Releases Its ‘Community Connect’ Global Broadband Initiative at the Geeks “Connectivity is the Revolution!” Thought Leadership Forum,"Oct. 19, 2017","2017 Global Grand Challenge Awards finalist Geeks Without Frontiers (GEEKS) announced the release of its Community Connect initiative, designed to drive and inspire a global policy effort to close the digital divide and accelerate broadband connectivity to the estimated 4.2 billion people without internet access.",http://markets.businessinsider.com/news/stocks/Geeks-Without-Frontiers-Releases-Its-Community-Connect-Global-Broadband-Initiative-at-the-Geeks-Connectivity-is-the-Revolution-Thought-Leadership-Forum-1004899647
Is Canada Ready for the Singularity?,"Oct. 18, 2017","The world has at least a dozen accelerating technologies right now, something that has never happened before in human history. But is society prepared for the exponential changes on the horizon, and can Canada act “as a platform” to guide them in the 21st century? We spoke with exponential technology expert and former Vice President of Singularity University, David Roberts, about his optimism for the future.",https://betakit.com/cancon-podcast-ep-89-is-canada-ready-for-the-singularity/
US Couple Wants More Kiwis in the Space Race,"Sept. 28, 2017","Eric Dahlstrom and Emeline Paat-Dahlstrom are among about 100 innovators and entrepreneurs who want to change the world and are in the country as part of the Edmund Hillary Fellowship (EHF), a programme that provides them with a three-year Global Impact Visa and pathway to residency.",http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11927372
Meet the Face Behind eCampus,"Sept. 23, 2017","In April 2017 eCampus CEO, Cecil Senna Nutakor won the Global Impact Challenge West Africa in Lagos. The Global Impact Challenge is an annual competition to identify ideas and initiatives that can positively impact a billion people. Organised by Singularity University based in NASA Research Park at the heart of Silicon Valley, in Mountain View, California, Singularity University is a global community using exponential technologies to tackle the world’s biggest challenges.",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Meet-the-face-behind-eCampus-584015
DreamJay Raises $2.3M to Ramp up Toward App Launch,"Sept. 15, 2017","GSP15 participant, DreamJay, a San Francisco- and Warsaw, Poland-based sleep app developer, announced today that it has raised $2.3 million in Series A funding. Investors include the Joint Polish Investment Fund (JPIF), Poland’s largest life science venture capital fund, and Nordic Makers, a Swedish fund.",http://www.mobihealthnews.com/content/dreamjay-raises-23m-ramp-toward-app-launch
Call for School to Teach Coding and Robotics,"Aug. 25, 2017","Lack of infrastructure and expensive data remain barriers, but coding and robotics must become part of the basic education curriculum if South Africa wants to contribute to the fourth industrial revolution, according to Nxasana, chairman of the National Student Financial Aid Scheme. These remarks came at the two-day Singularity University SA summit in Johannesburg hosted with Standard Bank, global partner Deloitte and strategic partners MTN and SAP.",http://www.bizcommunity.com/Article/196/357/166540.html
WATCH: Multi-talented robot entertains eNCA viewers,"Aug. 24, 2017","Shayne Mann, Singularity University Summit organiser, says the topic of disruptive technologies in Africa will be highlighted at this year's conference.",http://www.enca.com/life/watch-multi-talented-robot-entertains-enca-viewers
"Meet Gigafood, the Tesla-inspired Swedish Startup That Wants to Feed a Billion People Without Compromising on Health, Taste or the Environment","Aug. 20, 2017","Gigafood wants to get you fast food that not only tastes good and looks appealing, but is also environmentally friendly. Readying itself for an upcoming relaunch of its platform, Rebecka Carlsson enrolled at the famed Singularity University in Silicon Valley, with the hopes of learning how technologies like AI could help give the company a smoother distribution and hence boost expansion.",http://nordic.businessinsider.com/meet-the-swedish-duo-behind-gigafood-the-tesla-inspired-startup-that-wants-to-upend-the-fast-food-industry-with-delicious-yet-climate-conscious-meals-2017-8/
Entrepreneurs Are the Next Superpowers,"Aug. 14, 2017","Nextbigfuture interviewed Naveen Jain at the Singularity University Global Summit. Naveen Jain, who serves on SU's Board, is a business executive, entrepreneur and the founder and former CEO of InfoSpace and a founder of Moon Express, Viome, World Innovation Institute, Bluedot, iNome, TalentWise and Intelius.",https://www.nextbigfuture.com/2017/08/entrepreneurs-are-the-next-superpowers.html
How Tech Could Help to 'Future-Proof Africa',"Aug. 14, 2017",The SingularityU South Africa Summit seeks to explore how technology could help the African continent to meet future challenges. Peter Diamandis and Ray Kurzweil are two of the most prominent and recognised optimists who seek to harness the power of exponential improvement for human benefit. Singularity University is the flagship vehicle for their project.,https://www.timeslive.co.za/sunday-times/lifestyle/2017-08-14-how-tech-could-help-to-future-proof-africa/
"I’ve been an Investigative Reporter, a Civic Leader, and a Mentor. Now I’m Running for Congress.","Aug. 9, 2017","Matt Haggman, a graduate of the Singularity University Executive Program in 2014 shares, ""I’ve never run for public office, but I’ve been deeply involved in our community for many years. I’ve been a reporter, a civic leader, a mentor and a husband. Now, I’m coming to you as a candidate for Congress because Miami stands at a crossroads.""",https://medium.com/@Matt_Haggman_/ive-been-an-investigative-reporter-a-civic-leader-and-a-mentor-now-i-m-running-for-congress-1d8a874b3717
Singularity University’s Kaila Colbin: Don’t Let ‘Technoscenti’ Rule,"Aug. 8, 2017","Technologists need to take a long and hard look on fostering inclusivity in the conversation around digital transformation or risk widening the social divide, warns Silicon Valley think-tank Singularity University’s regional ambassador Kaila Colbin.",http://www.theaustralian.com.au/business/technology/singularity-universitys-kaila-colbin-dont-let-technoscenti-rule/news-story/26019be688b7c1efe09ce912969adb81
3D Printing For Refugee Camps,"Aug. 8, 2017","While 3D printing could offer an innovative way to build shelters for astronauts on the Moon, a European aerospace engineer turned this promising technology into a solution for conflict and devastated areas. Built up layer by layer and using local resources, 3D printed refugee camps could benefit millions of displaced people.",http://youbenefit.spaceflight.esa.int/3d-printing-for-refugee-camps/
Democratization of Venture Capital with Initial Coin Offerings - an Interview with Brock Pierce,"Aug. 4, 2017","At the SingularityU India Summit, Brock Pierce, Co-Founder and Managing Partner of Blockchain Capital, noted that ""[An ICO] can make traditional venture capital companies obsolete in the coming few years. Every industry eventually gets disrupted, venture capital hasn’t been disrupted. So VCs invest in innovation and they finance the disruption of industry but they very rarely innovate themselves."" ",http://www.moneycontrol.com/news/technology/beyond-disruption-democratization-of-venture-capital-with-icos-an-interview-with-brock-pierce-2255847.html
Standard Bank to Host Africa’s First-Ever Advanced Tech Summit,"July 13, 2017","Singularity University (SU) has announced its first international summit on the African Continent. The summit, taking place in Johannesburg from 23 and 24 August, will present a display of advanced technologies, extensive debate, and collaborative discussions, offering an exchange of ideas and existing best practices in the fields of healthcare, cyberspace, AI, robotics, big data, finance, and design.",https://businesstech.co.za/news/technology/185009/standard-bank-to-host-africas-first-ever-singularity-university-summit/
This Startup Wants to Stop Deaths from Cardiac Arrest Using a Computer-Controlled Balloon,"July 11, 2017",A device invented by Denmark's youngest doctor aims to improve people's chances of surviving one of the world's leading causes of death. Habib Frost graduated from SU's Global Solutions Program in 2016 and is part of the Denmark SU Faculty.,https://www.wired.co.uk/article/neurescue-habib-frost-cardiac-arrest
"Struggling For Visas, Tech Startups Are Looking Outside The U.S. To Launch Businesses","July 2, 2017","Mabell Aguilar, general counsel at Singularity University, an organization that helps tech startups through various educational programs and an incubator, said that anecdotally, she’s seeing foreign startup founders encounter more difficulties with their plans to continue growing in the U.S.",https://www.forbes.com/sites/ellensheng/2017/07/02/with-h-1b-visas-scarce-tech-startups-look-outside-u-s-to-launch-businesses/#43f5fdcf2237
"Meet the Hologram-Making, Singularity University Alum Who Wants to Reimagine Theater","June 28, 2017","Patty Rangel, an accomplished holographer and Singularity University alum, will embark on a year-long residency to experiment with a variety of new technologies—everything from life-size VR and AR to vibro-acoustics and gaming environments—that could one day be incorporated into stage productions.",https://www.fastcompany.com/4042072/meet-the-hologram-making-nasa-singularity-university-alum-who-wants-to-reimagine-theater
Singularity University’s International Summit Heading to Africa for First Time,"June 20, 2017","Singularity University (SU) is to host its first international conference, SingularityU Summit, in Johannesburg on 23 and 24 August. The summit will be held in collaboration with Standard Bank and other partners including MTN, SAP and Deloitte.",http://ventureburn.com/2017/06/singularity-universitys-international-summit-comes-africa-first-time/
The Promise of Organ and Tissue Preservation to Transform Medicine,"June 7, 2017","The ability to replace organs and tissues on demand could save or improve millions of lives each year globally and create public health benefits on par with curing cancer. Unmet needs for organ and tissue preservation place enormous logistical limitations on transplantation, regenerative medicine, drug discovery, and a variety of rapidly advancing areas spanning biomedicine. A growing coalition of researchers, clinicians, advocacy organizations, academic institutions, and other stakeholders has assembled to address the unmet need for preservation advances, outlining remaining challenges and identifying areas of underinvestment and untapped opportunities. Meanwhile, recent discoveries provide proofs of principle for breakthroughs in a family of research areas surrounding biopreservation.",https://www.nature.com/nbt/journal/v35/n6/full/nbt.3889.html?foxtrotcallback=true
What They Don’t Teach You at Business School,"June 2, 2017","I am at a conference in Mumbai organised by Silicon Valley think tank Singularity University in association with Bengaluru-based INK, which organises inspirational talks. One of the primary aims of this conference is to understand how individuals and organisations can deal with the disruptions caused by emerging technologies.",http://www.fortuneindia.com/macro/what-they-dont-teach-you-at-business-school/100202
Go West: Irish Entrepreneurs Head Stateside for CEO Retreat,"May 29, 2017","In addition to meeting some of the biggest movers and shakers in San Francisco, the Irish entrepreneurs will also hear from leading academics at Stanford University and will visit Singularity University, a Silicon Valley think tank.",https://www.irishtimes.com/business/go-west-irish-entrepreneurs-head-stateside-for-ceo-retreat-1.3097859
Addressing Global Grand Challenges Through Exponential Technologies and Mindset,"May 28, 2017","On April 26, Singularity University (SU) opened its Singapore Chapter. “We want to encourage Singaporeans to think bigger, to work on moonshot innovations, to come up with indigenous, breakthrough ideas,” Mr. Ang said. He gave the examples of Astroscale, a local company which is developing innovative solutions to remove space debris and Temasek Rice, a new breed of rice that is environmentally friendly, requires less water and land resources.",http://www.opengovasia.com/blogs/5-opengov-expert-opinion/post/7641-addressing-global-grand-challenges-through-exponential-technologies-and-mindset-at-singularity-university
"Pyongyang VR Teleports you Inside North Korea, One of the World's Most Secretive Countries (feat. Marcus Olsson, GSP '14)","April 25, 2017","This is Pyongyang VR - a virtual reality experience that gives a glimpse of life in the capital of the Democratic People's Republic of Korea, arguably the most repressive country in the world. It's the creation of Marcus Olsson, the co-founder and CEO of Swedish startup SceneThere which produces custom 360-degree video experiences - from a virtual tourist map of Malmö, to conversations with inhabitants of the Gereba favela in northeastern Brazil.",https://www.wired.co.uk/article/north-korea-vr
Interview With the Danish Dynamo Who Brought Singularity University to the Nordics: “It’s a Killer Cocktail”,"April 11, 2017","Singularity University, the famed think tank and tech education program in Silicon Valley, recently opened a Danish branch, marking the first major foreign expansion. SingularityU Denmark's founder and CEO Laila Pawlak sees a step-change in the region’s tech and social impact on the horizon. ",http://nordic.businessinsider.com/qa-with-the-danish-dynamo-who-brought-singularity-university-to-the-nordics-its-a-killer-cocktail-2017-4/
